127.0.0.1 - - [26/Jul/2023:14:41:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:39 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:39 +0900] "GET /jQuery_Ajex/images/happycat.gif HTTP/1.1" 200 125844
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:42:31 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:42:34 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:48:17 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:48:32 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:48:35 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:48:45 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:52:05 +0900] "GET /jQuery_Ajex/01_jquery/ex08_animate.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:55:01 +0900] "GET /jQuery_Ajex/01_jquery/ex05_hide_show.jsp HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:55:02 +0900] "GET /jQuery_Ajex/images/catdown.ico HTTP/1.1" 200 65911
0:0:0:0:0:0:0:1 - - [26/Jul/2023:15:02:40 +0900] "GET /jQuery_Ajex/01_jquery/ex28_banner.jsp HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [26/Jul/2023:15:02:40 +0900] "GET /jQuery_Ajex/images/catup.ico HTTP/1.1" 200 69078
0:0:0:0:0:0:0:1 - - [26/Jul/2023:15:02:40 +0900] "GET /jQuery_Ajex/images/apple.gif HTTP/1.1" 200 14167
0:0:0:0:0:0:0:1 - - [26/Jul/2023:15:02:40 +0900] "GET /jQuery_Ajex/images/prev_btn.png HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [26/Jul/2023:15:02:40 +0900] "GET /jQuery_Ajex/images/next_btn.png HTTP/1.1" 200 1462
